periodo	uf	
Apr.1997	13.529,33	
May.1997	13.572,79	
Jun.1997	13.609,75	
Jul.1997	13.637,68	
Aug.1997	13.679,34	
Sep.1997	13.751,68	
Oct.1997	13.826,21	
Nov.1997	13.957,81	
Dec.1997	14.084,14	
Jan.1998	14.104,20	
Feb.1998	14.138,44	
Mar.1998	14.206,08	
Apr.1998	14.214,83	
May.1998	14.269,32	
Jun.1998	14.318,68	
Jul.1998	14.352,39	
Aug.1998	14.398,73	
Sep.1998	14.451,63	
Oct.1998	14.503,44	
Nov.1998	14.585,53	
Dec.1998	14.674,32	
Jan.1999	14.708,41	
Feb.1999	14.749,30	
Mar.1999	14.724,52	
Apr.1999	14.755,61	
May.1999	14.834,09	
Jun.1999	14.882,74	
Jul.1999	14.899,44	
Aug.1999	14.914,36	
Sep.1999	14.932,99	
Oct.1999	14.962,48	
Nov.1999	14.999,88	
Dec.1999	15.051,20	
Jan.2000	15.086,47	
Feb.2000	15.126,66	
Mar.2000	15.173,85	
Apr.2000	15.265,89	
May.2000	15.364,81	
Jun.2000	15.430,45	
Jul.2000	15.463,30	
Aug.2000	15.490,19	
Sep.2000	15.514,09	
Oct.2000	15.571,99	
Nov.2000	15.663,00	
Dec.2000	15.745,21	
Jan.2001	15.786,02	
Feb.2001	15.810,24	
Mar.2001	15.832,33	
Apr.2001	15.821,37	
May.2001	15.896,09	
Jun.2001	15.970,96	
Jul.2001	16.023,24	
Aug.2001	16.028,47	
Sep.2001	16.039,48	
Oct.2001	16.158,19	
Nov.2001	16.246,20	
Dec.2001	16.262,03	
Jan.2002	16.249,81	
Feb.2002	16.211,96	
Mar.2002	16.198,33	
Apr.2002	16.218,42	
May.2002	16.292,63	
Jun.2002	16.345,43	
Jul.2002	16.355,16	
Aug.2002	16.361,55	
Sep.2002	16.423,41	
Oct.2002	16.506,83	
Nov.2002	16.639,70	
Dec.2002	16.745,79	
Jan.2003	16.722,23	
Feb.2003	16.679,10	
Mar.2003	16.723,35	
Apr.2003	16.868,94	
May.2003	17.012,00	
Jun.2003	16.990,50	
Jul.2003	16.941,92	
Aug.2003	16.934,83	
Sep.2003	16.931,69	
Oct.2003	16.963,80	
Nov.2003	16.980,06	
Dec.2003	16.944,03	
Jan.2004	16.893,79	
Feb.2004	16.848,14	
Mar.2004	16.822,17	
Apr.2004	16.838,07	
May.2004	16.903,26	
Jun.2004	16.974,76	
Jul.2004	17.055,07	
Aug.2004	17.115,04	
Sep.2004	17.159,07	
Oct.2004	17.213,25	
Nov.2004	17.241,18	
Dec.2004	17.291,91	
Jan.2005	17.311,91	
Feb.2005	17.253,10	
Mar.2005	17.208,61	
Apr.2005	17.220,89	
May.2005	17.333,84	
Jun.2005	17.460,00	
Jul.2005	17.521,36	
Aug.2005	17.600,09	
Sep.2005	17.689,96	
Oct.2005	17.778,00	
Nov.2005	17.926,88	
Dec.2005	17.987,42	
Jan.2006	17.951,52	
Feb.2006	17.917,05	
Mar.2006	17.922,93	
Apr.2006	17.938,69	
May.2006	18.042,17	
Jun.2006	18.131,13	
Jul.2006	18.189,52	
Aug.2006	18.291,18	
Sep.2006	18.373,19	
Oct.2006	18.415,56	
Nov.2006	18.403,51	
Dec.2006	18.354,91	
Jan.2007	18.331,93	
Feb.2007	18.356,63	
Mar.2007	18.387,11	
Apr.2007	18.382,55	
May.2007	18.461,97	
Jun.2007	18.570,58	
Jul.2007	18.697,42	
Aug.2007	18.873,60	
Sep.2007	19.078,16	
Oct.2007	19.289,42	
Nov.2007	19.460,39	
Dec.2007	19.550,76	
Jan.2008	19.688,10	
Feb.2008	19.762,50	
Mar.2008	19.787,24	
Apr.2008	19.883,12	
May.2008	20.019,16	
Jun.2008	20.142,86	
Jul.2008	20.395,89	
Aug.2008	20.678,27	
Sep.2008	20.896,36	
Oct.2008	21.098,31	
Nov.2008	21.316,35	
Dec.2008	21.454,72	
Jan.2009	21.379,18	
Feb.2009	21.158,43	
Mar.2009	21.004,32	
Apr.2009	20.960,11	
May.2009	21.004,81	
Jun.2009	20.962,55	
Jul.2009	20.933,10	
Aug.2009	20.952,43	
Sep.2009	20.874,76	
Oct.2009	20.867,29	
Nov.2009	21.009,42	
Dec.2009	20.989,81	
Jan.2010	20.899,82	
Feb.2010	20.877,51	
Mar.2010	20.966,13	
Apr.2010	21.019,75	
May.2010	21.064,65	
Jun.2010	21.160,60	
Jul.2010	21.224,29	
Aug.2010	21.261,05	
Sep.2010	21.344,51	
Oct.2010	21.356,86	
Nov.2010	21.421,11	
Dec.2010	21.445,15	
Jan.2011	21.466,63	
Feb.2011	21.497,96	
Mar.2011	21.556,35	
Apr.2011	21.633,36	
May.2011	21.773,99	
Jun.2011	21.848,67	
Jul.2011	21.924,28	
Aug.2011	21.964,10	
Sep.2011	21.992,35	
Oct.2011	22.053,13	
Nov.2011	22.160,11	
Dec.2011	22.259,95	
Jan.2012	22.346,12	
Feb.2012	22.447,54	
Mar.2012	22.492,50	
Apr.2012	22.567,73	
May.2012	22.608,96	
Jun.2012	22.626,49	
Jul.2012	22.609,47	
Aug.2012	22.562,02	
Sep.2012	22.571,05	
Oct.2012	22.650,36	
Nov.2012	22.813,45	
Dec.2012	22.886,63	
Jan.2013	22.811,83	
Feb.2013	22.818,59	
Mar.2013	22.857,28	
Apr.2013	22.898,59	
May.2013	22.933,69	
Jun.2013	22.857,11	
Jul.2013	22.888,71	
Aug.2013	23.002,78	
Sep.2013	23.067,92	
Oct.2013	23.133,47	
Nov.2013	23.221,88	
Dec.2013	23.267,17	
Jan.2014	23.369,91	
Feb.2014	23.482,16	
Mar.2014	23.552,54	
Apr.2014	23.685,06	
May.2014	23.860,55	
Jun.2014	23.986,19	
Jul.2014	24.048,75	
Aug.2014	24.081,02	
Sep.2014	24.134,09	
Oct.2014	24.237,79	
Nov.2014	24.438,18	
Dec.2014	24.617,62	
Jan.2015	24.601,14	
Feb.2015	24.538,61	
Mar.2015	24.577,93	
Apr.2015	24.685,43	
May.2015	24.832,61	
Jun.2015	24.955,07	
Jul.2015	25.028,87	
Aug.2015	25.144,67	
Sep.2015	25.264,76	
Oct.2015	25.426,52	
Nov.2015	25.548,23	
Dec.2015	25.625,13	
Jan.2016	25.629,09	
Feb.2016	25.661,05	
Mar.2016	25.772,43	
Apr.2016	25.858,01	
May.2016	25.954,31	
Jun.2016	26.025,99	
Jul.2016	26.093,10	
Aug.2016	26.181,82	
Sep.2016	26.222,27	
Oct.2016	26.238,10	
Nov.2016	26.288,20	
Dec.2016	26.334,19	
Jan.2017	26.340,76	
Feb.2017	26.336,93	
Mar.2017	26.442,88	
Apr.2017	26.512,42	
May.2017	26.603,14	
Jun.2017	26.651,22	
Jul.2017	26.643,94	
Aug.2017	26.584,37	
Sep.2017	26.631,13	
Oct.2017	26.656,66	
Nov.2017	26.662,41	
Dec.2017	26.779,99	
Jan.2018	26.811,97	
Feb.2018	26.864,09	
Mar.2018	26.961,32	
Apr.2018	26.980,73	
May.2018	27.040,06	
Jun.2018	27.119,59	
Jul.2018	27.187,19
